Enrollment Number,Year,Stream,pass/fail,midsem1.TOC,midsem1.DBMS,midsem1.OS,midsem1.Software Engineering,midsem1.Neural Networks and Deep Learning,midsem1.ESP,midsem1.SDP,midsem2.TOC,midsem2.DBMS,midsem2.OS,midsem2.Software Engineering,midsem2.Neural Networks and Deep Learning,midsem2.ESP,midsem2.SDP,midsem1lab.DBMS,midsem1lab.OS,midsem1lab.Software Engineering,midsem2lab.DBMS,midsem2lab.OS,midsem2lab.Software Engineering,internal_marks.TOC,internal_marks.DBMS,internal_marks.OS,internal_marks.Software Engineering,internal_marks.Neural Networks and Deep Learning,internal_marks.ESP,internal_marks.SDP,lab_final.DBMS,lab_final.OS,lab_final.Software Engineering,final_theory.TOC,final_theory.DBMS,final_theory.OS,final_theory.Software Engineering,final_theory.Neural Networks and Deep Learning,final_theory.ESP,final_theory.SDP
1520,3rd,CSE,Pass,21.0,22.0,28.0,0.0,24.0,27.0,20.0,17.0,29.0,0.0,5.0,23.0,17.0,1.0,18.0,23.0,29.0,18.0,2.0,10.0,50.0,12.0,49.0,41.0,0.0,15.0,30.0,30.0,11.0,29.0,28.0,57.0,84.0,21.0,33.0,66.0,63.0
1521,3rd,CSE,Pass,22.0,28.0,1.0,26.0,18.0,24.0,26.0,8.0,22.0,24.0,17.0,10.0,21.0,18.0,24.0,20.0,6.0,23.0,14.0,25.0,45.0,30.0,23.0,27.0,43.0,20.0,17.0,80.0,7.0,5.0,37.0,78.0,23.0,45.0,21.0,7.0,58.0
1522,3rd,CSE,Fail,10.0,14.0,28.0,0.0,4.0,24.0,20.0,12.0,23.0,18.0,21.0,12.0,19.0,24.0,5.0,21.0,,5.0,3.0,29.0,0.0,20.0,36.0,24.0,12.0,0.0,19.0,44.0,46.0,37.0,35.0,0.0,99.0,12.0,31.0,46.0,95.0
1523,3rd,CSE(AIML),Pass,30.0,8.0,23.0,22.0,12.0,14.0,5.0,23.0,7.0,10.0,21.0,13.0,9.0,6.0,7.0,27.0,8.0,11.0,23.0,17.0,,25.0,34.0,51.0,0.0,6.0,30.0,63.0,36.0,43.0,83.0,58.0,86.0,46.0,81.0,29.0,35.0
1524,3rd,CSBS,Pass,19.0,8.0,8.0,26.0,23.0,7.0,19.0,4.0,24.0,15.0,6.0,14.0,30.0,17.0,9.0,25.0,19.0,8.0,5.0,10.0,31.0,1.0,33.0,4.0,36.0,33.0,9.0,86.0,36.0,41.0,37.0,88.0,77.0,62.0,100.0,64.0,87.0
1525,3rd,CSEIOT,Pass,29.0,5.0,23.0,8.0,16.0,8.0,12.0,16.0,17.0,14.0,11.0,6.0,24.0,0.0,17.0,15.0,18.0,20.0,22.0,1.0,47.0,32.0,36.0,7.0,9.0,44.0,1.0,38.0,88.0,56.0,39.0,41.0,42.0,38.0,,50.0,44.0
1526,3rd,CSBS,Pass,13.0,4.0,16.0,7.0,9.0,20.0,7.0,5.0,18.0,22.0,26.0,12.0,15.0,20.0,4.0,23.0,3.0,15.0,16.0,14.0,42.0,42.0,38.0,34.0,36.0,2.0,48.0,66.0,90.0,23.0,44.0,10.0,1.0,30.0,44.0,13.0,76.0
1527,3rd,CSEIOT,Pass,27.0,7.0,16.0,15.0,22.0,25.0,6.0,12.0,27.0,14.0,16.0,24.0,25.0,17.0,12.0,24.0,23.0,24.0,13.0,6.0,27.0,32.0,20.0,24.0,28.0,35.0,17.0,72.0,87.0,3.0,18.0,23.0,23.0,50.0,92.0,71.0,30.0
1528,3rd,CSE(AIML),Pass,9.0,10.0,25.0,12.0,7.0,24.0,14.0,16.0,28.0,30.0,2.0,25.0,19.0,6.0,9.0,24.0,30.0,4.0,26.0,28.0,3.0,31.0,39.0,20.0,11.0,39.0,42.0,8.0,9.0,45.0,59.0,25.0,95.0,21.0,5.0,57.0,70.0
1529,3rd,CSEAI,Pass,22.0,7.0,14.0,9.0,15.0,13.0,9.0,1.0,10.0,24.0,0.0,9.0,27.0,14.0,16.0,11.0,18.0,7.0,30.0,20.0,33.0,1.0,41.0,12.0,50.0,1.0,30.0,66.0,37.0,49.0,54.0,60.0,28.0,71.0,83.0,3.0,21.0
1530,3rd,CSE(AIML),Pass,4.0,2.0,27.0,28.0,30.0,14.0,25.0,8.0,28.0,3.0,12.0,10.0,1.0,13.0,12.0,4.0,30.0,29.0,13.0,25.0,27.0,43.0,37.0,14.0,0.0,27.0,12.0,36.0,56.0,86.0,63.0,27.0,61.0,9.0,66.0,17.0,80.0
1531,3rd,CSEIOT,Fail,30.0,27.0,22.0,3.0,23.0,21.0,21.0,29.0,30.0,24.0,,1.0,9.0,3.0,19.0,13.0,1.0,3.0,4.0,9.0,3.0,43.0,33.0,0.0,31.0,47.0,14.0,65.0,34.0,99.0,5.0,18.0,7.0,51.0,58.0,60.0,9.0
1532,3rd,CSEIOTCSBT,Pass,3.0,1.0,11.0,19.0,14.0,25.0,17.0,30.0,7.0,28.0,14.0,24.0,29.0,28.0,26.0,30.0,21.0,11.0,0.0,30.0,30.0,11.0,31.0,49.0,34.0,26.0,20.0,90.0,23.0,86.0,37.0,83.0,94.0,51.0,76.0,24.0,37.0
1533,3rd,CSE,Pass,8.0,15.0,6.0,19.0,5.0,10.0,18.0,10.0,17.0,4.0,16.0,20.0,20.0,2.0,16.0,20.0,8.0,21.0,29.0,26.0,40.0,20.0,13.0,27.0,16.0,16.0,23.0,67.0,73.0,91.0,54.0,83.0,61.0,98.0,58.0,89.0,100.0
1534,3rd,CSBS,Pass,0.0,3.0,22.0,22.0,14.0,10.0,13.0,14.0,20.0,9.0,3.0,9.0,5.0,7.0,8.0,9.0,27.0,8.0,30.0,10.0,25.0,12.0,45.0,47.0,22.0,30.0,5.0,27.0,82.0,97.0,63.0,61.0,48.0,85.0,58.0,94.0,33.0
1535,3rd,CSE(AIML),Fail,6.0,21.0,22.0,2.0,23.0,2.0,0.0,21.0,10.0,23.0,14.0,30.0,12.0,21.0,25.0,29.0,13.0,3.0,21.0,18.0,2.0,23.0,32.0,23.0,24.0,48.0,41.0,45.0,80.0,57.0,7.0,47.0,3.0,5.0,67.0,9.0,11.0
1536,3rd,CSE(AIML),Fail,19.0,17.0,19.0,4.0,17.0,12.0,29.0,21.0,12.0,21.0,18.0,6.0,29.0,2.0,22.0,10.0,23.0,2.0,0.0,17.0,39.0,1.0,27.0,2.0,37.0,3.0,17.0,2.0,8.0,35.0,3.0,75.0,73.0,58.0,2.0,70.0,15.0
1537,3rd,CSE,Pass,17.0,9.0,3.0,14.0,19.0,30.0,5.0,24.0,17.0,6.0,20.0,28.0,7.0,21.0,12.0,18.0,7.0,4.0,19.0,11.0,41.0,37.0,16.0,27.0,24.0,10.0,35.0,88.0,52.0,40.0,41.0,92.0,67.0,12.0,7.0,27.0,29.0
1538,3rd,CSBS,Pass,10.0,12.0,26.0,24.0,0.0,13.0,51.0,5.0,24.0,5.0,17.0,19.0,9.0,0.0,16.0,24.0,26.0,6.0,28.0,28.0,22.0,40.0,31.0,50.0,2.0,24.0,46.0,99.0,96.0,100.0,39.0,58.0,80.0,17.0,69.0,57.0,70.0
1539,3rd,CSE,Pass,9.0,3.0,15.0,7.0,11.0,13.0,7.0,0.0,8.0,7.0,11.0,29.0,24.0,19.0,28.0,27.0,20.0,14.0,26.0,3.0,27.0,23.0,12.0,19.0,57.0,23.0,12.0,15.0,59.0,30.0,85.0,100.0,82.0,22.0,33.0,42.0,25.0
1540,3rd,CSEIOT,Pass,21.0,30.0,27.0,29.0,8.0,51.0,1.0,22.0,20.0,21.0,0.0,16.0,28.0,11.0,22.0,13.0,3.0,29.0,9.0,6.0,10.0,1.0,47.0,9.0,41.0,47.0,29.0,97.0,54.0,22.0,52.0,40.0,38.0,64.0,54.0,89.0,91.0
1541,3rd,CSE(AIML),Pass,20.0,26.0,4.0,1.0,25.0,20.0,15.0,20.0,30.0,8.0,17.0,4.0,11.0,21.0,0.0,21.0,14.0,25.0,3.0,7.0,39.0,18.0,18.0,21.0,29.0,29.0,9.0,71.0,73.0,37.0,21.0,45.0,80.0,100.0,54.0,78.0,4.0
1542,3rd,CSE(AIML),Pass,23.0,2.0,4.0,19.0,21.0,15.0,26.0,26.0,1.0,17.0,26.0,20.0,4.0,29.0,15.0,26.0,9.0,27.0,14.0,16.0,,44.0,11.0,0.0,20.0,31.0,7.0,47.0,12.0,83.0,43.0,70.0,65.0,73.0,16.0,92.0,87.0
1543,3rd,CSE(AIML),Pass,,17.0,29.0,19.0,24.0,20.0,2.0,10.0,17.0,27.0,24.0,19.0,28.0,3.0,0.0,9.0,37.0,8.0,,16.0,10.0,48.0,30.0,23.0,30.0,12.0,16.0,7.0,58.0,93.0,95.0,80.0,31.0,52.0,39.0,54.0,86.0
1544,3rd,CSBS,Pass,21.0,27.0,1.0,17.0,24.0,0.0,4.0,4.0,23.0,8.0,28.0,27.0,16.0,27.0,2.0,26.0,10.0,2.0,11.0,17.0,13.0,9.0,44.0,24.0,42.0,16.0,33.0,54.0,41.0,75.0,25.0,52.0,47.0,79.0,77.0,43.0,100.0
1545,3rd,CSE,Fail,8.0,3.0,26.0,22.0,22.0,16.0,9.0,0.0,19.0,10.0,4.0,22.0,2.0,19.0,19.0,21.0,0.0,26.0,23.0,16.0,10.0,15.0,6.0,34.0,50.0,28.0,36.0,79.0,22.0,40.0,32.0,44.0,12.0,,71.0,54.0,5.0
1546,3rd,CSE,Pass,18.0,9.0,14.0,0.0,14.0,28.0,20.0,12.0,11.0,43.0,15.0,2.0,19.0,30.0,,14.0,0.0,21.0,2.0,11.0,45.0,35.0,17.0,17.0,24.0,10.0,34.0,60.0,91.0,73.0,100.0,17.0,55.0,1.0,20.0,39.0,51.0
1547,3rd,CSEAI,Pass,7.0,30.0,8.0,13.0,10.0,3.0,4.0,23.0,27.0,4.0,21.0,7.0,17.0,30.0,25.0,12.0,9.0,15.0,16.0,9.0,37.0,46.0,19.0,31.0,39.0,40.0,6.0,43.0,9.0,46.0,27.0,62.0,130.0,2.0,21.0,55.0,13.0
1548,3rd,CSEIOT,Pass,21.0,12.0,5.0,18.0,16.0,16.0,4.0,4.0,8.0,13.0,0.0,7.0,24.0,25.0,16.0,7.0,10.0,17.0,5.0,27.0,28.0,10.0,11.0,49.0,44.0,3.0,1.0,85.0,51.0,21.0,94.0,85.0,21.0,89.0,33.0,9.0,57.0
1549,3rd,CSE(AIML),Pass,28.0,5.0,29.0,,20.0,17.0,28.0,7.0,1.0,12.0,28.0,15.0,12.0,22.0,22.0,19.0,2.0,7.0,17.0,26.0,,28.0,31.0,48.0,70.0,14.0,40.0,95.0,33.0,71.0,54.0,37.0,9.0,95.0,65.0,79.0,13.0
1550,3rd,CSEIOT,Pass,26.0,0.0,26.0,7.0,11.0,13.0,,14.0,10.0,21.0,19.0,11.0,16.0,23.0,21.0,19.0,17.0,30.0,22.0,19.0,10.0,29.0,34.0,20.0,7.0,36.0,40.0,41.0,40.0,75.0,79.0,91.0,65.0,29.0,89.0,91.0,12.0
1551,3rd,CSE,Pass,26.0,3.0,23.0,0.0,8.0,17.0,4.0,19.0,20.0,5.0,28.0,14.0,14.0,17.0,4.0,21.0,15.0,6.0,26.0,26.0,22.0,9.0,43.0,48.0,49.0,44.0,1.0,44.0,44.0,67.0,39.0,76.0,63.0,2.0,51.0,63.0,27.0
1552,3rd,CSE(AIML),Pass,29.0,4.0,14.0,10.0,12.0,1.0,0.0,7.0,25.0,30.0,10.0,18.0,8.0,7.0,18.0,4.0,17.0,22.0,8.0,19.0,0.0,28.0,35.0,48.0,7.0,13.0,24.0,62.0,37.0,33.0,72.0,63.0,34.0,77.0,61.0,96.0,14.0
1553,3rd,CSE,Pass,30.0,18.0,6.0,27.0,25.0,25.0,14.0,24.0,0.0,7.0,4.0,8.0,29.0,8.0,28.0,0.0,1.0,8.0,27.0,13.0,36.0,24.0,33.0,38.0,41.0,23.0,24.0,25.0,92.0,91.0,98.0,51.0,6.0,91.0,50.0,75.0,91.0
1554,3rd,CSEAI,Pass,12.0,,9.0,16.0,16.0,19.0,19.0,5.0,20.0,4.0,15.0,18.0,25.0,18.0,12.0,20.0,29.0,27.0,26.0,12.0,37.0,42.0,9.0,50.0,32.0,28.0,41.0,8.0,60.0,78.0,35.0,23.0,96.0,52.0,50.0,86.0,43.0
1555,3rd,CSE,Pass,28.0,1.0,26.0,5.0,26.0,44.0,26.0,0.0,18.0,2.0,23.0,1.0,18.0,2.0,13.0,0.0,18.0,15.0,20.0,29.0,9.0,45.0,3.0,33.0,35.0,39.0,3.0,12.0,27.0,9.0,53.0,57.0,71.0,110.0,89.0,23.0,26.0
1556,3rd,CSE,Pass,8.0,13.0,26.0,19.0,26.0,19.0,14.0,20.0,6.0,10.0,1.0,1.0,14.0,1.0,7.0,14.0,14.0,19.0,15.0,27.0,27.0,20.0,6.0,29.0,44.0,9.0,25.0,50.0,31.0,63.0,99.0,44.0,74.0,1.0,19.0,31.0,96.0
1557,3rd,CSEIOTCSBT,Fail,30.0,12.0,15.0,18.0,26.0,20.0,7.0,14.0,30.0,3.0,6.0,1.0,24.0,7.0,25.0,26.0,20.0,27.0,5.0,13.0,27.0,13.0,45.0,2.0,1.0,27.0,33.0,14.0,13.0,7.0,60.0,51.0,57.0,0.0,36.0,98.0,73.0
1558,3rd,CSE,Fail,6.0,7.0,10.0,16.0,9.0,18.0,12.0,1.0,15.0,26.0,5.0,12.0,1.0,18.0,2.0,8.0,20.0,9.0,8.0,9.0,33.0,27.0,29.0,40.0,27.0,4.0,19.0,6.0,14.0,22.0,12.0,39.0,52.0,77.0,78.0,12.0,74.0
1559,3rd,CSE(AIML),Pass,15.0,29.0,12.0,20.0,28.0,4.0,0.0,27.0,16.0,17.0,21.0,51.0,1.0,17.0,16.0,15.0,3.0,29.0,24.0,27.0,21.0,0.0,5.0,22.0,50.0,20.0,18.0,29.0,32.0,89.0,4.0,12.0,79.0,108.0,51.0,6.0,5.0
1560,3rd,CSE,Fail,17.0,0.0,9.0,21.0,5.0,18.0,3.0,10.0,26.0,3.0,8.0,1.0,22.0,22.0,22.0,16.0,22.0,26.0,15.0,25.0,28.0,6.0,22.0,42.0,19.0,46.0,23.0,38.0,89.0,67.0,79.0,1.0,14.0,3.0,25.0,47.0,8.0
1561,3rd,CSEIOTCSBT,Fail,8.0,2.0,22.0,23.0,27.0,9.0,11.0,0.0,2.0,23.0,14.0,16.0,2.0,23.0,1.0,8.0,6.0,3.0,13.0,10.0,26.0,42.0,15.0,7.0,21.0,11.0,0.0,22.0,3.0,34.0,29.0,57.0,68.0,35.0,45.0,72.0,15.0
1562,3rd,CSEIOT,Pass,11.0,1.0,17.0,14.0,14.0,19.0,12.0,8.0,12.0,2.0,30.0,6.0,27.0,18.0,19.0,4.0,23.0,18.0,15.0,26.0,25.0,28.0,32.0,49.0,29.0,34.0,49.0,55.0,35.0,65.0,0.0,86.0,32.0,51.0,11.0,65.0,74.0
1563,3rd,CSE(AIML),Pass,15.0,16.0,22.0,30.0,,9.0,21.0,24.0,9.0,8.0,25.0,,26.0,23.0,25.0,14.0,1.0,17.0,20.0,3.0,14.0,49.0,20.0,45.0,21.0,43.0,40.0,69.0,69.0,57.0,88.0,78.0,54.0,77.0,22.0,49.0,64.0
1564,3rd,CSEAI,Fail,14.0,9.0,6.0,14.0,16.0,18.0,10.0,13.0,23.0,1.0,14.0,18.0,13.0,8.0,22.0,23.0,6.0,20.0,24.0,18.0,46.0,49.0,24.0,47.0,0.0,13.0,45.0,54.0,28.0,63.0,5.0,77.0,72.0,20.0,1.0,16.0,24.0
1565,3rd,CSE,Pass,16.0,21.0,0.0,12.0,18.0,20.0,0.0,12.0,18.0,7.0,24.0,12.0,15.0,6.0,18.0,17.0,12.0,6.0,15.0,19.0,29.0,25.0,29.0,8.0,20.0,50.0,47.0,30.0,82.0,81.0,58.0,92.0,74.0,90.0,97.0,54.0,56.0
1566,3rd,CSEIOT,Fail,12.0,13.0,14.0,15.0,14.0,14.0,24.0,5.0,12.0,2.0,17.0,0.0,20.0,3.0,10.0,14.0,1.0,22.0,3.0,9.0,19.0,34.0,11.0,12.0,13.0,32.0,16.0,10.0,68.0,9.0,79.0,100.0,72.0,4.0,40.0,95.0,17.0
1567,3rd,CSEIOTCSBT,Fail,9.0,22.0,0.0,0.0,23.0,12.0,21.0,26.0,17.0,26.0,1.0,1.0,1.0,30.0,28.0,13.0,27.0,30.0,17.0,27.0,16.0,1.0,27.0,45.0,24.0,8.0,3.0,39.0,57.0,84.0,74.0,35.0,40.0,11.0,63.0,13.0,4.0
1568,3rd,CSE(AIML),Pass,4.0,27.0,18.0,2.0,7.0,12.0,7.0,23.0,26.0,14.0,8.0,27.0,5.0,13.0,8.0,11.0,25.0,2.0,27.0,7.0,18.0,39.0,19.0,19.0,0.0,44.0,30.0,24.0,51.0,27.0,38.0,78.0,66.0,52.0,63.0,67.0,44.0
1569,3rd,CSEAI,Pass,14.0,6.0,6.0,15.0,22.0,28.0,16.0,9.0,48.0,17.0,7.0,7.0,9.0,9.0,6.0,16.0,29.0,14.0,8.0,1.0,21.0,20.0,3.0,43.0,49.0,10.0,50.0,8.0,23.0,62.0,65.0,68.0,94.0,53.0,100.0,35.0,12.0
1570,3rd,CSE(AIML),Pass,18.0,19.0,23.0,27.0,27.0,3.0,19.0,14.0,30.0,15.0,8.0,29.0,14.0,26.0,25.0,18.0,1.0,,1.0,27.0,33.0,41.0,41.0,43.0,34.0,44.0,27.0,67.0,47.0,44.0,18.0,2.0,7.0,62.0,100.0,43.0,91.0
1571,3rd,CSEIOTCSBT,Fail,28.0,29.0,18.0,14.0,18.0,26.0,29.0,18.0,1.0,30.0,0.0,3.0,15.0,28.0,0.0,3.0,7.0,9.0,12.0,5.0,14.0,21.0,19.0,13.0,14.0,,11.0,64.0,11.0,7.0,30.0,57.0,44.0,71.0,61.0,54.0,65.0
1572,3rd,CSEIOTCSBT,Fail,29.0,5.0,17.0,20.0,20.0,3.0,2.0,3.0,23.0,25.0,26.0,18.0,11.0,1.0,57.0,7.0,25.0,26.0,0.0,17.0,40.0,7.0,25.0,0.0,7.0,16.0,43.0,19.0,24.0,3.0,,55.0,21.0,61.0,8.0,86.0,70.0
1573,3rd,CSE(AIML),Pass,1.0,6.0,29.0,0.0,11.0,17.0,22.0,24.0,25.0,29.0,15.0,27.0,19.0,16.0,23.0,4.0,18.0,14.0,27.0,17.0,5.0,13.0,17.0,1.0,5.0,2.0,42.0,57.0,86.0,83.0,15.0,89.0,38.0,53.0,22.0,85.0,19.0
1574,3rd,CSE,Pass,17.0,28.0,19.0,10.0,3.0,25.0,16.0,13.0,29.0,18.0,8.0,21.0,7.0,30.0,12.0,30.0,7.0,30.0,7.0,10.0,32.0,35.0,,39.0,46.0,16.0,50.0,66.0,35.0,85.0,58.0,34.0,34.0,72.0,54.0,62.0,65.0
1575,3rd,CSEAI,Pass,23.0,23.0,9.0,0.0,26.0,16.0,11.0,14.0,14.0,18.0,8.0,18.0,23.0,25.0,28.0,21.0,10.0,27.0,21.0,27.0,16.0,20.0,2.0,26.0,5.0,21.0,33.0,42.0,26.0,53.0,15.0,5.0,35.0,93.0,69.0,57.0,45.0
1576,3rd,CSEIOTCSBT,Pass,23.0,8.0,21.0,16.0,0.0,24.0,3.0,13.0,8.0,22.0,57.0,13.0,22.0,19.0,17.0,13.0,3.0,20.0,26.0,13.0,50.0,33.0,35.0,47.0,22.0,12.0,41.0,29.0,63.0,79.0,28.0,53.0,67.0,88.0,4.0,99.0,
1577,3rd,CSEAI,Pass,1.0,26.0,27.0,20.0,22.0,25.0,11.0,8.0,15.0,8.0,15.0,28.0,19.0,25.0,25.0,2.0,16.0,19.0,6.0,8.0,45.0,12.0,5.0,47.0,5.0,11.0,19.0,65.0,80.0,28.0,1.0,72.0,78.0,21.0,3.0,62.0,41.0
1578,3rd,CSEIOTCSBT,Fail,17.0,17.0,5.0,9.0,25.0,22.0,8.0,13.0,5.0,7.0,13.0,0.0,25.0,26.0,19.0,6.0,29.0,2.0,9.0,2.0,49.0,37.0,38.0,50.0,32.0,12.0,4.0,30.0,16.0,51.0,9.0,26.0,15.0,15.0,98.0,15.0,38.0
1579,3rd,CSBS,Fail,3.0,19.0,14.0,3.0,1.0,5.0,6.0,20.0,1.0,29.0,30.0,16.0,24.0,21.0,29.0,0.0,,24.0,18.0,19.0,9.0,48.0,4.0,14.0,4.0,47.0,0.0,31.0,17.0,36.0,48.0,81.0,99.0,21.0,75.0,0.0,61.0
1580,3rd,CSE(AIML),Fail,11.0,18.0,3.0,7.0,4.0,,3.0,25.0,4.0,13.0,23.0,14.0,12.0,9.0,7.0,0.0,30.0,19.0,8.0,13.0,44.0,13.0,31.0,22.0,,27.0,26.0,52.0,33.0,28.0,31.0,10.0,32.0,1.0,13.0,98.0,33.0
1581,3rd,CSE,Pass,5.0,30.0,22.0,26.0,17.0,4.0,24.0,22.0,6.0,29.0,16.0,17.0,24.0,7.0,22.0,3.0,2.0,28.0,16.0,30.0,26.0,1.0,24.0,43.0,23.0,3.0,8.0,15.0,14.0,27.0,79.0,57.0,65.0,42.0,33.0,7.0,77.0
1582,3rd,CSEIOT,Pass,8.0,0.0,24.0,8.0,1.0,15.0,5.0,27.0,12.0,14.0,29.0,5.0,29.0,2.0,21.0,22.0,25.0,5.0,23.0,13.0,3.0,2.0,49.0,6.0,36.0,33.0,10.0,59.0,97.0,56.0,69.0,8.0,97.0,41.0,46.0,92.0,46.0
1583,3rd,CSE(AIML),Pass,16.0,0.0,19.0,5.0,21.0,30.0,12.0,26.0,9.0,28.0,16.0,7.0,7.0,29.0,26.0,25.0,18.0,3.0,4.0,21.0,35.0,36.0,34.0,2.0,10.0,16.0,16.0,44.0,3.0,93.0,62.0,61.0,51.0,32.0,18.0,51.0,39.0
1584,3rd,CSE(AIML),Pass,30.0,5.0,7.0,27.0,0.0,1.0,20.0,28.0,13.0,29.0,22.0,30.0,21.0,2.0,1.0,29.0,25.0,28.0,6.0,18.0,45.0,34.0,18.0,38.0,3.0,40.0,0.0,82.0,82.0,41.0,87.0,59.0,12.0,63.0,99.0,64.0,8.0
1585,3rd,CSEIOTCSBT,Pass,0.0,24.0,13.0,21.0,4.0,6.0,16.0,21.0,9.0,2.0,15.0,16.0,16.0,23.0,3.0,1.0,18.0,16.0,18.0,2.0,44.0,47.0,15.0,36.0,36.0,50.0,10.0,93.0,69.0,16.0,30.0,41.0,86.0,80.0,19.0,57.0,87.0
1586,3rd,CSBS,Pass,2.0,24.0,19.0,20.0,6.0,4.0,17.0,29.0,21.0,2.0,3.0,20.0,30.0,22.0,12.0,28.0,18.0,15.0,7.0,20.0,26.0,32.0,50.0,13.0,40.0,11.0,18.0,6.0,2.0,100.0,78.0,41.0,82.0,74.0,32.0,10.0,54.0
1587,3rd,CSEIOT,Pass,14.0,9.0,15.0,13.0,24.0,28.0,12.0,23.0,30.0,38.0,12.0,30.0,26.0,21.0,24.0,29.0,7.0,6.0,5.0,23.0,8.0,7.0,23.0,46.0,45.0,27.0,17.0,5.0,98.0,50.0,67.0,54.0,31.0,57.0,91.0,38.0,69.0
1588,3rd,CSEIOTCSBT,Pass,8.0,27.0,12.0,0.0,21.0,11.0,8.0,27.0,9.0,1.0,0.0,25.0,16.0,23.0,15.0,6.0,7.0,15.0,29.0,8.0,30.0,28.0,28.0,50.0,9.0,15.0,76.0,83.0,5.0,1.0,20.0,97.0,41.0,12.0,62.0,76.0,46.0
1589,3rd,CSBS,Fail,23.0,23.0,17.0,13.0,0.0,27.0,15.0,24.0,11.0,5.0,16.0,24.0,7.0,6.0,23.0,20.0,10.0,20.0,7.0,17.0,6.0,48.0,29.0,6.0,4.0,39.0,20.0,73.0,65.0,20.0,17.0,13.0,6.0,68.0,15.0,54.0,21.0
1590,3rd,CSBS,Fail,27.0,25.0,14.0,10.0,18.0,26.0,7.0,28.0,11.0,9.0,0.0,5.0,27.0,16.0,10.0,1.0,15.0,3.0,19.0,8.0,24.0,22.0,6.0,7.0,3.0,32.0,43.0,78.0,21.0,13.0,8.0,37.0,85.0,3.0,16.0,36.0,16.0
1591,3rd,CSE(AIML),Pass,2.0,28.0,21.0,0.0,24.0,18.0,21.0,6.0,6.0,12.0,6.0,8.0,7.0,17.0,26.0,3.0,6.0,18.0,11.0,3.0,32.0,25.0,21.0,23.0,27.0,44.0,29.0,62.0,29.0,70.0,50.0,7.0,62.0,77.0,79.0,49.0,97.0
1592,3rd,CSBS,Pass,29.0,30.0,3.0,29.0,16.0,14.0,19.0,2.0,11.0,28.0,13.0,0.0,4.0,16.0,15.0,21.0,12.0,15.0,16.0,5.0,,5.0,29.0,7.0,43.0,49.0,35.0,62.0,84.0,32.0,51.0,73.0,83.0,,9.0,69.0,20.0
1593,3rd,CSE,Pass,12.0,4.0,28.0,15.0,7.0,3.0,28.0,,29.0,26.0,20.0,12.0,9.0,2.0,21.0,3.0,22.0,25.0,17.0,30.0,1.0,42.0,3.0,21.0,44.0,24.0,17.0,34.0,100.0,30.0,4.0,88.0,90.0,2.0,41.0,78.0,15.0
1594,3rd,CSEAI,Fail,4.0,23.0,25.0,13.0,29.0,12.0,8.0,20.0,2.0,28.0,23.0,7.0,3.0,8.0,17.0,2.0,26.0,16.0,23.0,45.0,14.0,27.0,13.0,46.0,10.0,5.0,9.0,92.0,10.0,84.0,59.0,19.0,45.0,60.0,12.0,5.0,15.0
1595,3rd,CSEIOT,Pass,29.0,10.0,1.0,0.0,27.0,17.0,31.0,29.0,24.0,5.0,27.0,21.0,15.0,2.0,9.0,18.0,13.0,19.0,10.0,1.0,15.0,31.0,43.0,6.0,15.0,34.0,30.0,39.0,1.0,88.0,83.0,76.0,74.0,58.0,73.0,66.0,28.0
1596,3rd,CSEIOTCSBT,Pass,12.0,2.0,16.0,22.0,23.0,29.0,27.0,22.0,30.0,2.0,25.0,27.0,10.0,29.0,11.0,29.0,4.0,28.0,25.0,8.0,28.0,48.0,10.0,12.0,41.0,32.0,17.0,4.0,88.0,98.0,96.0,52.0,6.0,19.0,28.0,22.0,74.0
1597,3rd,CSEIOT,Pass,24.0,29.0,8.0,16.0,27.0,9.0,7.0,10.0,0.0,18.0,16.0,12.0,12.0,6.0,29.0,10.0,30.0,22.0,30.0,7.0,50.0,2.0,48.0,48.0,17.0,18.0,45.0,66.0,57.0,17.0,17.0,24.0,69.0,33.0,94.0,94.0,17.0
1598,3rd,CSEAI,Pass,8.0,4.0,2.0,26.0,20.0,10.0,29.0,26.0,9.0,21.0,6.0,25.0,7.0,23.0,0.0,7.0,0.0,14.0,4.0,11.0,43.0,1.0,24.0,17.0,23.0,27.0,48.0,10.0,49.0,44.0,78.0,38.0,15.0,34.0,33.0,85.0,80.0
1599,3rd,CSBS,Pass,19.0,0.0,1.0,7.0,30.0,2.0,23.0,18.0,12.0,0.0,22.0,9.0,11.0,5.0,22.0,26.0,10.0,24.0,24.0,1.0,49.0,30.0,16.0,7.0,14.0,42.0,14.0,5.0,23.0,84.0,52.0,98.0,94.0,,23.0,23.0,88.0
1600,3rd,CSE,Pass,2.0,29.0,27.0,27.0,0.0,2.0,29.0,30.0,30.0,3.0,12.0,10.0,12.0,0.0,28.0,24.0,30.0,19.0,4.0,30.0,3.0,28.0,47.0,41.0,36.0,14.0,43.0,67.0,17.0,63.0,58.0,60.0,54.0,118.0,28.0,99.0,37.0
1601,3rd,CSE,Pass,3.0,3.0,3.0,23.0,9.0,26.0,22.0,1.0,30.0,24.0,11.0,16.0,28.0,0.0,28.0,10.0,28.0,10.0,17.0,22.0,35.0,29.0,6.0,4.0,14.0,34.0,12.0,71.0,66.0,70.0,81.0,82.0,95.0,71.0,86.0,86.0,71.0
